Date,CNH,IND,IDN,JPN,KOR,MYS,PHL,SGP,TWN,THA
1/1/2023,37150201.00,2246556.00,4242099.00,2828917.00,4243281.00,2788076.00,559954.00,9709245.00,813483.00,2907600.00
2/1/2023,30140795.00,2226891.00,4222417.00,2491869.00,4848551.00,2759855.00,409570.00,9326784.00,783852.00,3428934.00
3/1/2023,42975047.00,2340311.00,5151596.00,3480145.00,5024636.00,2968963.00,693517.00,9710520.00,725662.00,3570116.00
4/1/2023,40980153.00,1897645.00,4830501.00,2566791.00,4477476.00,2726988.00,505789.00,9838951.00,698127.00,3034360.00
5/1/2023,38021456.00,2195174.00,4387178.00,2423007.00,4853704.00,2640901.00,286945.00,9711968.00,880859.00,3521956.00
6/1/2023,39406158.00,1982784.00,4966609.00,2245917.00,3783374.00,2447987.00,598622.00,10114408.00,691266.00,3214828.00
7/1/2023,39448634.00,1938267.00,5401403.00,3040638.00,4236369.00,2298334.00,576429.00,9611975.00,728202.00,3158293.00
8/1/2023,38605937.00,1974602.00,5125680.00,2716962.00,4386900.00,2693396.00,632458.00,9832197.00,706285.00,3228222.00
9/1/2023,37007509.00,1616675.00,5037988.00,3035210.00,4748935.00,2319838.00,516996.00,8782279.00,799455.00,3027152.00
10/1/2023,32545540.00,1499094.00,5463629.00,2452251.00,4137296.00,2400802.00,382347.00,8665848.00,695441.00,3322237.00
